,Year,Category,value
160,2005,Canola _Area,971.7
161,2006,Canola _Area,1051.8
162,2007,Canola _Area,1277.1
163,2008,Canola _Area,1692.6
164,2009,Canola _Area,1694.9
165,2010,Canola _Area,2077.5
166,2011,Canola _Area,2460.8
167,2012,Canola _Area,3271.5
168,2013,Canola _Area,2720.7
169,2014,Canola _Area,2897.0
170,2015,Canola _Area,2090.9
171,2016,Canola _Area,2681.2
172,2017,Canola _Area,3171.1
173,2018,Canola _Area,2119.8
174,2019,Canola _Area,2034.1
175,2020,Canola _Area,2613.8
176,2021,Canola _Area,3250.3
177,2022,Canola _Area,3900.0
178,2023,Canola _Area,3477.0
179,2024,Canola _Area,3236.7
180,1989,Canola _Production,78.0
181,1990,Canola _Production,98.4
182,1991,Canola _Production,170.4
183,1992,Canola _Production,177.9
184,1993,Canola _Production,305.0
185,1994,Canola _Production,263.9
186,1995,Canola _Production,557.1
187,1996,Canola _Production,623.2
188,1997,Canola _Production,855.4
189,1998,Canola _Production,1690.5
190,1999,Canola _Production,2458.7
191,2000,Canola _Production,1774.1
192,2001,Canola _Production,1755.9
193,2002,Canola _Production,870.1
194,2003,Canola _Production,1702.3
195,2004,Canola _Production,1542.3
196,2005,Canola _Production,1418.9
197,2006,Canola _Production,573.3
198,2007,Canola _Production,1214.4
199,2008,Canola _Production,1844.2
200,2009,Canola _Production,1907.3
201,2010,Canola _Production,2358.7
202,2011,Canola _Production,3427.3
203,2012,Canola _Production,4141.6
204,2013,Canola _Production,3831.9
205,2014,Canola _Production,3540.0
206,2015,Canola _Production,2775.5
207,2016,Canola _Production,4313.2
208,2017,Canola _Production,3893.1
209,2018,Canola _Production,2365.8
210,2019,Canola _Production,2298.5
211,2020,Canola _Production,4756.4
212,2021,Canola _Production,6820.3
213,2022,Canola _Production,8272.5
214,2023,Canola _Production,5936.0
215,2024,Canola _Production,5472.1
216,1989,Chickpeas   _Area,93.0
217,1990,Chickpeas   _Area,178.1
218,1991,Chickpeas   _Area,249.7
219,1992,Chickpeas   _Area,151.8
220,1993,Chickpeas   _Area,146.8
221,1994,Chickpeas   _Area,208.9
222,1995,Chickpeas   _Area,216.4
