,2021(Ha),
Pastures and cereal for grazing (a),"495,779",
Cereals crops (excluding rice),"320,093",
Pastures and cereal for hay and silage (b),"210,391",
Cotton,"197,401",
Fruit and nut (excluding grapes),"196,906",
Sugar cane,"157,521",
Grapevines,"130,534",
Vegetables,"98,785",
Rice,"45,084",
